tiempo,y,vy,velocidad_ruedas,fuerza_ruedas,error
1771879613.6043253,0.010669888754433728,0.18834199504297813,7.2,53.0,1.811658004957022
1771879613.6459494,0.020102107902190296,0.25696600583423634,7.2,53.0,1.7430339941657635
1771879613.6834328,0.030960689226986048,0.3149990122654679,7.2,53.0,1.685000987734532
1771879613.712611,0.040850549212673365,0.3566291998458973,7.2,53.0,1.6433708001541028
1771879613.7376375,0.05024643231570264,0.38908971305454837,7.2,53.0,1.6109102869454517
1771879613.7626963,0.06040123281689372,0.4178398591569667,7.2,53.0,1.5821601408430332
1771879613.7876391,0.07121080695478063,0.442086353877591,7.2,53.0,1.557913646122409
1771879613.8084664,0.0806292675204638,0.45821827776093743,7.2,53.0,1.5417817222390626
1771879613.8293207,0.0903071631420499,0.4654981703582938,7.2,53.0,1.5345018296417061
1771879613.854415,0.10179846868894449,0.4549103389041029,7.2,53.0,1.545089661095897
1771879613.8751523,0.11113051327907046,0.4428927172272205,7.2,53.0,1.5571072827727794
1771879613.8960037,0.12017437578605122,0.42783368326608157,7.2,53.0,1.5721663167339184
1771879613.9210353,0.1305551933552237,0.4055885595564196,7.2,53.0,1.5944114404435803
1771879613.9377644,0.1416983055270675,0.7135159256761637,7.2,53.0,1.2864840743238362
1771879613.9502275,0.1525108927180695,0.931978964747163,7.2,53.0,1.068021035252837
1771879613.958585,0.16109004165706087,1.078787538280533,7.2,53.0,0.921212461719467
1771879613.966901,0.17023203095697215,1.090887710156605,7.2,53.0,0.909112289843395
1771879613.9795675,0.1834563577479407,1.0387253475334897,7.2,53.0,0.9612746524665103
1771879613.9877422,0.19197131328296776,1.0177499403435273,7.2,53.0,0.9822500596564727
1771879613.9960659,0.20041025043751523,1.012004065955725,7.2,53.0,0.987995934044275
1771879614.008607,0.21301478521578954,1.0044739500969053,7.2,53.0,0.9955260499030947
1771879614.016909,0.22130847364616246,0.9922522602857868,7.2,53.0,1.0077477397142132
1771879614.029495,0.2335887701144684,0.9830630337091134,7.2,53.0,1.0169369662908867
1771879614.0377457,0.24174999538158679,0.975842431739467,7.2,53.0,1.024157568260533
1771879614.0502703,0.25381442493959805,0.9633123065246727,7.2,53.0,1.0366876934753273
1771879614.058585,0.26184067630279945,0.9647421808490756,7.2,53.0,1.0352578191509245
1771879614.0712016,0.2735865822266826,0.9325181747392478,7.2,53.0,1.067481825260752
1771879614.0793762,0.28135144239039384,0.9326490875304076,7.2,53.0,1.0673509124695924
1771879614.0919492,0.2928475600197407,0.9050683078538148,7.2,53.0,1.0949316921461851
1771879614.1002324,0.30023099437810863,0.8835529530421764,7.2,53.0,1.1164470469578236
1771879614.1129937,0.31315205410404195,1.3048897001794024,7.2,53.0,0.6951102998205976
1771879614.1169837,0.32037109472783565,1.732569749710487,7.2,53.0,0.26743025028951295
1771879614.1254482,0.3371074286033183,2.1020058830798956,7.2,53.0,-0.10200588307989555
1771879614.1296444,0.3463390487628021,2.2155888382761044,7.2,53.0,-0.21558883827610442
1771879614.133638,0.35584523579814403,2.2814848884820726,7.2,53.0,-0.28148488848207265
1771879614.137793,0.36552030449787837,2.3220164879362457,7.2,53.0,-0.3220164879362457
1771879614.1419446,0.3754498645804897,2.3830944198267185,7.2,53.0,-0.38309441982671855
1771879614.1461322,0.38554747495632197,2.4234264901997458,7.2,53.0,-0.42342649019974576
1771879614.1503146,0.3957113850440116,2.4393384210455142,7.2,53.0,-0.43933842104551424
1771879614.1544192,0.4059948746811721,2.4680375129185212,7.2,53.0,-0.46803751291852125
1771879614.1586332,0.41642014581924436,2.502065073137334,7.2,53.0,-0.502065073137334
1771879614.1627667,0.42689003365996364,2.512773081772633,7.2,53.0,-0.5127730817726328
1771879614.1669133,0.43738454117125525,2.5186818027099798,7.2,53.0,-0.5186818027099798
1771879614.1711378,0.4479308341277066,2.5311103095483287,7.2,53.0,-0.5311103095483287
1771879614.1753466,0.45842554213734243,2.5187299223125987,7.2,53.0,-0.5187299223125987
1771879614.1796377,0.468949353214702,2.5257146585662937,7.2,53.0,-0.5257146585662937
1771879614.1836274,0.4795206548897206,2.537112402004476,7.2,53.0,-0.537112402004476
1771879614.187812,0.4900760334696408,2.533290859180848,7.2,53.0,-0.5332908591808478
1771879614.1879113,0.4900760334696408,2.533290859180848,7.2,53.0,-0.5332908591808478
1771879614.191971,0.5006301212911984,2.532981077173836,7.2,53.0,-0.5329810771738361
1771879614.1961017,0.5112294837461804,2.543846989195662,7.2,53.0,-0.5438469891956621
1771879614.2002826,0.521726941308841,2.5193898150385454,7.2,53.0,-0.5193898150385454
1771879614.2044039,0.532268294127732,2.52992467653384,7.2,53.0,-0.5299246765338399
1771879614.2085776,0.5428707072224018,2.5445791427207642,7.2,53.0,-0.5445791427207642
1771879614.2127411,0.5534988886662648,2.5507635465271137,7.2,53.0,-0.5507635465271137
1771879614.216956,0.5640747707953073,2.5382117109701916,7.2,53.0,-0.5382117109701916
1771879614.2210763,0.57463612014049,2.5347238428438534,7.2,53.0,-0.5347238428438534
1771879614.2253013,0.5852130878291454,2.538472245277279,7.2,53.0,-0.538472245277279
1771879614.2294607,0.5956823978933807,2.512634415416486,7.2,53.0,-0.5126344154164859
1771879614.2336223,0.6061208628771695,2.505231596109288,7.2,53.0,-0.5052315961092879
1771879614.2377436,0.6165810863609686,2.5104536361117873,7.2,53.0,-0.5104536361117873
1771879614.2419333,0.6269895020407137,2.498019763138801,7.2,53.0,-0.4980197631388008
1771879614.2461376,0.637353742211176,2.4874176409109507,7.2,53.0,-0.48741764091095074
1771879614.250275,0.6477207442461146,2.4880804883852656,7.2,53.0,-0.48808048838526563
1771879614.2544365,0.6581171080562491,2.4951273144322834,7.2,53.0,-0.4951273144322834
1771879614.2586882,0.6684394918496674,2.477372110420402,7.2,53.0,-0.47737211042040206
1771879614.2627792,0.678742345135541,2.472684788609653,7.2,53.0,-0.4726847886096528
1771879614.266977,0.6890760794946852,2.4800962461946012,7.2,53.0,-0.48009624619460123
1771879614.271113,0.6992986252100614,2.4534109716902797,7.2,53.0,-0.45341097169027966
1771879614.2752738,0.7094908172682691,2.446126093969854,7.2,53.0,-0.44612609396985414
1771879614.2796545,0.7196973432621251,2.4495662385254198,7.2,53.0,-0.44956623852541977
1771879614.2836454,0.7299438180941086,2.4591539596760486,7.2,53.0,-0.45915395967604855
1771879614.2879136,0.7404327564567665,2.51734520703792,7.2,53.0,-0.5173452070379199
1771879614.287994,0.7404327564567665,2.51734520703792,7.2,53.0,-0.5173452070379199
1771879614.2919846,0.7511862053890204,2.5808277437409113,7.2,53.0,-0.5808277437409113
1771879614.2961252,0.7619797353562374,2.5904471921320984,7.2,53.0,-0.5904471921320984
1771879614.3002846,0.7729858068118903,2.6414571493567,7.2,53.0,-0.6414571493566998
1771879614.304428,0.7840240308656183,2.6491737728947125,7.2,53.0,-0.6491737728947125
1771879614.3086848,0.7951978534360374,2.681717416900585,7.2,53.0,-0.6817174169005851
1771879614.312807,0.8063957156396044,2.6874869288560777,7.2,53.0,-0.6874869288560777
1771879614.3169737,0.8176852442989647,2.709486878246471,7.2,53.0,-0.7094868782464712
1771879614.3211107,0.8290649439122116,2.7311279071792534,7.2,53.0,-0.7311279071792534
1771879614.325594,0.8403915261711619,2.718379742148055,7.2,53.0,-0.7183797421480551
1771879614.3258762,0.8403915261711619,2.718379742148055,7.2,53.0,-0.7183797421480551
1771879614.3296432,0.8517838828710804,2.734165607980443,7.2,53.0,-0.7341656079804428
1771879614.3337007,0.863226217141899,2.746160224996458,7.2,53.0,-0.7461602249964581
1771879614.337843,0.8746601063594763,2.744133412218569,7.2,53.0,-0.7441334122185692
1771879614.3419602,0.8861252233919902,2.751628087803337,7.2,53.0,-0.7516280878033368
1771879614.3460922,0.8976236504797737,2.7596225010680246,7.2,53.0,-0.7596225010680246
1771879614.3504107,0.9090947548052938,2.753065038124819,7.2,53.0,-0.7530650381248192
1771879614.3544827,0.9206257239242629,2.767432588552576,7.2,53.0,-0.7674325885525759
1771879614.3545554,0.9206257239242629,2.767432588552576,7.2,53.0,-0.7674325885525759
1771879614.358626,0.932264123747408,2.7932159575548257,7.2,53.0,-0.7932159575548257
1771879614.3628619,0.9439465607395919,2.803784878124142,7.2,53.0,-0.8037848781241421
1771879614.3670623,0.9555784597418688,2.7916557605464445,7.2,53.0,-0.7916557605464445
